provider,source_key,year,instrument,url,status,remote_size_mb,cached,gom_profiles,usable_profiles,notes
ERDDAP_GLIDER,usf-sam-20240216T0000,,glider,https://gliders.ioos.us/erddap/tabledap/usf-sam-20240216T0000.html,profile_candidate,,False,candidate,,"search=Gulf of Mexico glider; search_status=available; title=usf-sam-20240216T0000; institution=University of South Florida; variables=conductivity,crs,density,depth,instrument_ctd,lat_uv,latitude,lon_uv,longitude,platform,precise_lat,precise_lon,precise_time,pressure,profile_id,qartod_conductivity_flat_line_flag,qartod_conductivity_gross_range_flag,qartod_conductivity_primary_flag,qartod_conductivity_rate_of_change_flag,qartod_conductivity_spike_flag,qartod_density_flat_line_flag,qartod_density_gross_range_flag,qartod_density_primary_flag,qartod_density_rate_of_change_flag,qartod_density_spike_flag,qartod_location_test_flag,qartod_pressure_flat_line_flag,qartod_pressure_gross_range_flag,qartod_pressure_primary_flag,qartod_pressure_rate_of_change_flag"
ERDDAP_GLIDER,mote-holly-20250319T0000,,glider,https://gliders.ioos.us/erddap/tabledap/mote-holly-20250319T0000.html,profile_candidate,,False,candidate,,"search=Gulf of Mexico glider; search_status=available; title=mote-holly-20250319T0000; institution=Mote Marine Laboratory; variables=conductivity,crs,density,depth,instrument_ctd,lat_uv,latitude,lon_uv,longitude,platform,precise_lat,precise_lon,precise_time,pressure,profile_id,qartod_conductivity_flat_line_flag,qartod_conductivity_gross_range_flag,qartod_conductivity_primary_flag,qartod_conductivity_rate_of_change_flag,qartod_conductivity_spike_flag,qartod_density_flat_line_flag,qartod_density_gross_range_flag,qartod_density_primary_flag,qartod_density_rate_of_change_flag,qartod_density_spike_flag,qartod_location_test_flag,qartod_pressure_flat_line_flag,qartod_pressure_gross_range_flag,qartod_pressure_primary_flag,qartod_pressure_rate_of_change_flag"
ERDDAP_GLIDER,mote-holly-20250429T0000,,glider,https://gliders.ioos.us/erddap/tabledap/mote-holly-20250429T0000.html,profile_candidate,,False,candidate,,"search=Gulf of Mexico glider; search_status=available; title=mote-holly-20250429T0000; institution=Mote Marine Laboratory; variables=conductivity,crs,density,depth,instrument_ctd,lat_uv,latitude,lon_uv,longitude,platform,precise_lat,precise_lon,precise_time,pressure,profile_id,qartod_conductivity_flat_line_flag,qartod_conductivity_gross_range_flag,qartod_conductivity_primary_flag,qartod_conductivity_rate_of_change_flag,qartod_conductivity_spike_flag,qartod_density_flat_line_flag,qartod_density_gross_range_flag,qartod_density_primary_flag,qartod_density_rate_of_change_flag,qartod_density_spike_flag,qartod_location_test_flag,qartod_pressure_flat_line_flag,qartod_pressure_gross_range_flag,qartod_pressure_primary_flag,qartod_pressure_rate_of_change_flag"
ERDDAP_GLIDER,usf-stella-20250206T0000,,glider,https://gliders.ioos.us/erddap/tabledap/usf-stella-20250206T0000.html,profile_candidate,,False,candidate,,"search=Gulf of Mexico glider; search_status=available; title=usf-stella-20250206T0000; institution=University of South Florida; variables=conductivity,crs,density,depth,instrument_ctd,lat_uv,latitude,lon_uv,longitude,platform,precise_lat,precise_lon,precise_time,pressure,profile_id,qartod_conductivity_flat_line_flag,qartod_conductivity_gross_range_flag,qartod_conductivity_primary_flag,qartod_conductivity_rate_of_change_flag,qartod_conductivity_spike_flag,qartod_density_flat_line_flag,qartod_density_gross_range_flag,qartod_density_primary_flag,qartod_density_rate_of_change_flag,qartod_density_spike_flag,qartod_location_test_flag,qartod_pressure_flat_line_flag,qartod_pressure_gross_range_flag,qartod_pressure_primary_flag,qartod_pressure_rate_of_change_flag"
ERDDAP_GLIDER,mote-SeaXplorer-20240318T0000,,glider,https://gliders.ioos.us/erddap/tabledap/mote-SeaXplorer-20240318T0000.html,profile_candidate,,False,candidate,,"search=Gulf of Mexico glider; search_status=available; title=mote-SeaXplorer-20240318T0000; institution=Mote Marine Laboratory; variables=conductivity,crs,density,depth,instrument_ctd,lat_uv,latitude,lon_uv,longitude,platform,precise_lat,precise_lon,precise_time,pressure,profile_id,qartod_conductivity_flat_line_flag,qartod_conductivity_gross_range_flag,qartod_conductivity_primary_flag,qartod_conductivity_rate_of_change_flag,qartod_conductivity_spike_flag,qartod_density_flat_line_flag,qartod_density_gross_range_flag,qartod_density_primary_flag,qartod_density_rate_of_change_flag,qartod_density_spike_flag,qartod_location_test_flag,qartod_pressure_flat_line_flag,qartod_pressure_gross_range_flag,qartod_pressure_primary_flag,qartod_pressure_rate_of_change_flag"
ERDDAP_GLIDER,we15-20230413T1451-delayed,,glider,https://gliders.ioos.us/erddap/tabledap/we15-20230413T1451-delayed.html,profile_candidate,,False,candidate,,"search=GoM glider; search_status=available; title=we15-20230413T1451-delayed; institution=Wood Hole Oceanographic Institution; variables=chlorophyll,conductivity,conductivity_qc,density,density_qc,depth,depth_qc,distance_over_ground,heading,instrument_ctd,lat_qc,lat_uv,latitude,latitude_gps,lon_qc,lon_uv,longitude,longitude_gps,pitch,platform,potential_density,potential_temperature,precise_lat,precise_lon,precise_time,pressure,pressure_qc,profile_direction,profile_id,profile_index"
ERDDAP_GLIDER,we15-20241017T1802-delayed,,glider,https://gliders.ioos.us/erddap/tabledap/we15-20241017T1802-delayed.html,profile_candidate,,False,candidate,,"search=GoM glider; search_status=available; title=we15-20241017T1802-delayed; institution=Wood Hole Oceanographic Institution; variables=chlorophyll,conductivity,conductivity_qc,density,density_qc,depth,depth_qc,distance_over_ground,heading,instrument_ctd,lat_qc,lat_uv,latitude,latitude_gps,lon_qc,lon_uv,longitude,longitude_gps,pitch,platform,potential_density,potential_temperature,precise_lat,precise_lon,precise_time,pressure,pressure_qc,profile_direction,profile_id,profile_index"
ERDDAP_GLIDER,we15-20231209T1801-delayed,,glider,https://gliders.ioos.us/erddap/tabledap/we15-20231209T1801-delayed.html,profile_candidate,,False,candidate,,"search=GoM glider; search_status=available; title=we15-20231209T1801-delayed; institution=Wood Hole Oceanographic Institution; variables=chlorophyll,conductivity,conductivity_qc,density,density_qc,depth,depth_qc,distance_over_ground,heading,instrument_ctd,lat_qc,lat_uv,latitude,latitude_gps,lon_qc,lon_uv,longitude,longitude_gps,pitch,platform,potential_density,potential_temperature,precise_lat,precise_lon,precise_time,pressure,pressure_qc,profile_direction,profile_id,profile_index"
ERDDAP_GLIDER,we15-20210325T1415-delayed,,glider,https://gliders.ioos.us/erddap/tabledap/we15-20210325T1415-delayed.html,profile_candidate,,False,candidate,,"search=GoM glider; search_status=available; title=we15-20210325T1415-delayed; institution=Wood Hole Oceanographic Institution; variables=chlorophyll,conductivity,conductivity_qc,density,density_qc,depth,depth_qc,distance_over_ground,heading,instrument_ctd,lat_qc,lat_uv,latitude,latitude_gps,lon_qc,lon_uv,longitude,longitude_gps,pitch,platform,potential_density,potential_temperature,precise_lat,precise_lon,precise_time,pressure,pressure_qc,profile_direction,profile_id,profile_index"
ERDDAP_GLIDER,Reveille-20180627T1500,,glider,https://gliders.ioos.us/erddap/tabledap/Reveille-20180627T1500.html,profile_candidate,,False,candidate,,"search=GoM glider; search_status=available; title=Reveille-20180627T1500; institution=Texas A&M University, GCOOS-RA; variables=conductivity,crs,density,depth,instrument_ctd,lat_uv,latitude,lon_uv,longitude,platform,precise_lat,precise_lon,precise_time,pressure,profile_id,qartod_conductivity_flat_line_flag,qartod_conductivity_gross_range_flag,qartod_conductivity_primary_flag,qartod_conductivity_rate_of_change_flag,qartod_conductivity_spike_flag,qartod_density_flat_line_flag,qartod_density_gross_range_flag,qartod_density_primary_flag,qartod_density_rate_of_change_flag,qartod_density_spike_flag,qartod_location_test_flag,qartod_monotonic_pressure_flag,qartod_pressure_flat_line_flag,qartod_pressure_gross_range_flag,qartod_pressure_primary_flag"
